OfferDetails,FaceValue,Product
SAVE $2.00 on any ONE (1) Aleve® or Aleve®PM product 40ct. or larger (excludes Aleve-D®),$2.00,"(2.00, ONE, 1, Aleve, Aleve-D®)"
"SAVE $1.00 on any ONE (1) Cheez-It® Baked Snack Crackers Caddy Pack (20 ct. or Larger, Any Flavor)",$1.00,"(1.00, ONE, 1, 20, Larger)"
"SAVE $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).",$1.00,"(1.00, 50, 75, Tide Detergent, Tide, Tide)"
"SAVE 55¢ on any ONE (1) OFF!® Product(Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products)",55¢,"(1, Club Packs, Twin Packs, 2, 2.5oz)"
SAVE $3.00 ONE Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"(3.00, 2, 2)"
SAVE $2.00 ONE Olay Facial Cleanser (excludes trial/travel size).,$2.00,"(2.00, Olay Facial Cleanser)"
SAVE $1.00 ONE Prilosec OTC Product.,$1.00,"(1.00, Prilosec)"
SAVE $4.00 ONE Gillette Blade Refill (4 ct or larger).,$4.00,"(4.00, Gillette Blade Refill, 4)"
"SAVE $2.00 ONE Gain Flings 30 ct or larger OR Gain Ultra Flings 18 ct or larger (excludes Gain Liquid/Powder Laundry Detergent, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$2.00,"(2.00, 30, Gain Ultra, 18, Gain Liquid/Powder Laundry Detergent, Gain Fireworks, 9)"
GET $3.00 off any ONE (1) Box of PULL-UPS® Training Pants (40 ct. or higher),$3.00,"(3.00, ONE, 1, Box, PULL-UPS, 40)"
"SAVE $3.00 ONE Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity 3.0 oz or larger (excludes all other variants, kids, and trial/travel size).",$3.00,"(3.00, Gum Detoxify, Enamel Repair, Gum &amp, Sensitivity, 3.0)"
"SAVE $2.00 ONE Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"(2.00, Gillette Razor, Disposables, Venus Products)"
"$0.75 OFF any ONE (1) Lily’s Chocolate Bar, Chocolate Candy or Baking Chips",$0.75,"(0.75, ONE, 1, Lily)"
"SAVE $4.00 when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial &amp; travel sizes",$4.00,"(4.00, ONE, 1, Adult ZYRTEC, 24-45ct, trial &amp)"
"$4.00 OFF on ONE (1) Allegra® Allergy 24ct or larger, Allegra-D®, or Children's Allegra® Product",$4.00,"(4.00, ONE, 1, Allegra, 24ct, Allegra-D®, Children's Allegra)"
SAVE $2.00 ONE Dreft Newborn Laundry Detergent OR Dreft Active Baby Laundry Detergent OR Dreft Pure Gentleness Laundry Detergent (excludes trial/travel size).,$2.00,"(2.00,)"
"BUY ONE GET ONE FREE on any ONE (1) bag of Flavors of America by Eight O'Clock®, Any variety 11oz.",,"(1, Flavors of America, Eight, O'Clock, 11)"
$4.00 OFF on any ONE (1) 12ct. multipack SHEBA® PERFECT PORTIONS™ Premium Cat Food,$4.00,"(4.00, ONE, 1) 12ct, SHEBA, PORTIONS)"
"SAVE $4.00 ONE Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"(Olay Facial Moisturizer, Serums, Complete, Active Hydrating)"
SAVE $2.00 ONE Venus Razor (excludes disposables).,$2.00,"(2.00, Venus Razor)"
"SAVE $5.00 off any ONE (1) Claritin® up to 55ct, excludes 60ct or larger",$5.00,"(5.00, 1, Claritin, 55ct, 60ct)"
SAVE $1.50 on any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger),$1.50,"(1.50, ONE, 1, HUGGIES, 10)"
$5.00 OFF on any ONE (1) Osteo Bi-Flex® product (28ct or larger),$5.00,"(5.00, ONE, 1, Osteo Bi-Flex, 28ct)"
SAVE $3.00 ONE (1) Nexium® 24HR 28ct or larger,$3.00,"(3.00, 1, 24HR, 28ct)"
